Asuel,2954,JU,47.39918,7.20516
Athenaz (Avusy),1285,GE,46.14866,6.00432
Attalens,1616,FR,46.50898,6.85103
Attelwil,5056,AG,47.26007,8.04269
Attikon,8544,ZH,47.53627,8.79703
Attinghausen,6468,UR,46.86229,8.62687
Attiswil,4536,BE,47.2484,7.61146
Au SG,9434,SG,47.43232,9.63478
Au ZH,8804,ZH,47.24291,8.64703
Aubonne,1170,VD,46.49345,6.38966
Auenstein,5105,AG,47.41698,8.13725
Augst BL,4302,BL,47.53408,7.71811
Aumont,1484,FR,46.79925,6.85045
Auslikon,8331,ZH,47.34459,8.80823
Ausserberg,3938,VS,46.31429,7.8514
Ausserferrera,7444,GR,46.55872,9.44372
Auswil,4944,BE,47.13566,7.83332
Autavaux,1475,FR,46.86406,6.87946
Autigny,1742,FR,46.73764,7.02088
Auvernier,2012,NE,46.97718,6.8777
Auw,5644,AG,47.21118,8.36543
Avegno,6670,TI,46.20535,8.74711
Avenches,1580,VD,46.88099,7.04075
Avers,7447,GR,46.46539,9.51742
Avry-devant-Pont,1644,FR,46.68651,7.08684
Avully,1237,GE,46.16862,5.99653
Azmoos,9478,SG,47.07981,9.47478
Baar,6340,ZG,47.19484,8.52668
Bachenbülach,8184,ZH,47.50448,8.54772
Bachs,8164,ZH,47.52528,8.43724
Bad Ragaz,7310,SG,47.00704,9.50135
Bad Zurzach,5330,AG,47.58707,8.29372
Baden,5400,AG,47.4651,8.28932
Baldegg,6283,LU,47.18494,8.28065
Baldingen,5333,AG,47.55533,8.31645
Balerna,6828,TI,45.8469,9.0058
Balgach,9436,SG,47.40505,9.60606
Ballaigues,1338,VD,46.73039,6.41387
Ballens,1144,VD,46.55362,6.37454
Ballwil,6275,LU,47.15234,8.32335
Balm b. Günsberg,4525,SO,47.25216,7.55583
Balsthal,4710,SO,47.31508,7.69374
Balterswil,8362,TG,47.45464,8.9362
Baltschieder,3937,VS,46.30692,7.86406
Balzers,9496,,47.06512,9.5026
Bannwil,4913,BE,47.23987,7.73498
Barbengo,6917,TI,45.96098,8.91667
Bargen BE,3282,BE,47.03883,7.26177
Bargen SH,8233,SH,47.79225,8.60862
Barmelweid,5017,AG,47.42163,7.97157
Barzheim,8241,SH,47.76017,8.72093
Basadingen,8254,TG,47.66899,8.74712
Basel,4001,BS,47.55554,7.58746
Basse-Nendaz,1996,VS,46.19099,7.31096
Bassecourt,2854,JU,47.33769,7.24285
Bassersdorf,8303,ZH,47.44301,8.62955
Bassins,1269,VD,46.46752,6.22932
Bauen,6466,UR,46.93121,8.57681
Baulmes,1446,VD,46.78999,6.52205
Bauma,8494,ZH,47.36832,8.87902
Bavois,1372,VD,46.68319,6.56628
Bazenheid,9602,SG,47.41192,9.06535
Beatenberg,3803,BE,46.69676,7.79666
Beckenried,6375,NW,46.96577,8.46951
Bedano,6930,TI,46.05136,8.92022
Beggingen,8228,SH,47.76614,8.5355
Begnins,1268,VD,46.44175,6.24758
Beinwil (Freiamt),5637,AG,47.22921,8.34234
Beinwil SO,4229,SO,47.36013,7.59781
Beinwil am See,5712,AG,47.26591,8.20295
Belfaux,1782,FR,46.82119,7.10163
Bellach,4512,SO,47.21367,7.49919
Bellelay,2713,BE,47.26289,7.165
Bellevue,1293,GE,46.25535,6.14595
Bellikon,5454,AG,47.39011,8.34607
Bellinzona,6500,TI,46.20094,9.02243
Bellmund,2564,BE,47.10558,7.24724
Bellwald,3997,VS,46.42757,8.16011
Belmont-sur-Lausanne,1092,VD,46.52203,6.68173
Belmont-sur-Yverdon,1432,VD,46.74487,6.62417
Belp,3123,BE,46.89194,7.50183
Belpberg,3124,BE,46.8674,7.5253
Belprahon,2744,BE,47.28293,7.40544
Benglen,8121,ZH,47.35977,8.63515
Benken SG,8717,SG,47.19504,9.00615
Benken ZH,8463,ZH,47.65362,8.65419
Bennau,8836,SZ,47.14857,8.72618
Bennwil,4431,BL,47.40378,7.78099
Benzenschwil,5636,AG,47.2483,8.36614
Bercher,1038,VD,46.69123,6.70823
Berg SG,9305,SG,47.48685,9.40807
